dataset,best_params,num_boost_round
FCMtp2sampled_data_1000_set_17,"{'lambda_l1': 0.0002319194412883949, 'lambda_l2': 6.974215996145591, 'num_leaves': 141, 'feature_fraction': 0.6968888225225014, 'bagging_fraction': 0.9978375237971102, 'bagging_freq': 0, 'min_child_samples': 1, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",100
FSCS_sampled_data_1000_set_17,"{'lambda_l1': 0.00012605745277952338, 'lambda_l2': 2.408434426802692, 'num_leaves': 193, 'feature_fraction': 0.6543213969314512, 'bagging_fraction': 0.7723740717810234, 'bagging_freq': 2, 'min_child_samples': 28, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",60
BalancedSampling_sampled_data_1000_set_18,"{'lambda_l1': 0.0033502880480105004, 'lambda_l2': 5.287206441352306e-08, 'num_leaves': 202, 'feature_fraction': 0.633970248297205, 'bagging_fraction': 0.9648530349134316, 'bagging_freq': 9, 'min_child_samples': 6, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",39
clhs_sampled_data_1000_set_18,"{'lambda_l1': 4.3791009805933377e-05, 'lambda_l2': 4.0612494446731393e-07, 'num_leaves': 279, 'feature_fraction': 0.8272515252906625, 'bagging_fraction': 0.8181890480291261, 'bagging_freq': 3, 'min_child_samples': 28, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",39
FCMtp2sampled_data_1000_set_18,"{'lambda_l1': 2.107604950602692e-06, 'lambda_l2': 0.016584123747422522, 'num_leaves': 231, 'feature_fraction': 0.9117271581667451, 'bagging_fraction': 0.8210468183148547, 'bagging_freq': 1, 'min_child_samples': 9, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",100
FSCS_sampled_data_1000_set_18,"{'lambda_l1': 8.436896979562415e-05, 'lambda_l2': 1.0849672616491932, 'num_leaves': 434, 'feature_fraction': 0.570403597638046, 'bagging_fraction': 0.6726287538786011, 'bagging_freq': 1, 'min_child_samples': 28, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",64
BalancedSampling_sampled_data_1000_set_19,"{'lambda_l1': 0.000329276219654223, 'lambda_l2': 0.00017448120573606722, 'num_leaves': 211, 'feature_fraction': 0.8155096209235173, 'bagging_fraction': 0.7250025705791936, 'bagging_freq': 3, 'min_child_samples': 20, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",41
clhs_sampled_data_1000_set_19,"{'lambda_l1': 0.023225706327913126, 'lambda_l2': 0.19784452424502208, 'num_leaves': 420, 'feature_fraction': 0.6045836482679695, 'bagging_fraction': 0.8725126463613244, 'bagging_freq': 5, 'min_child_samples': 42, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",59
FCMtp2sampled_data_1000_set_19,"{'lambda_l1': 1.0802330761518573e-08, 'lambda_l2': 0.0001340494903539664, 'num_leaves': 95, 'feature_fraction': 0.497669770690343, 'bagging_fraction': 0.10710364769732672, 'bagging_freq': 0, 'min_child_samples': 1, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",100
FSCS_sampled_data_1000_set_19,"{'lambda_l1': 0.014412443775394055, 'lambda_l2': 0.04054915249216195, 'num_leaves': 265, 'feature_fraction': 0.7156439270663257, 'bagging_fraction': 0.8443548231752687, 'bagging_freq': 3, 'min_child_samples': 33, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",38
BalancedSampling_sampled_data_1000_set_20,"{'lambda_l1': 0.0006332608912096162, 'lambda_l2': 3.6183272432783706e-06, 'num_leaves': 292, 'feature_fraction': 0.7823290402254837, 'bagging_fraction': 0.6353744499800031, 'bagging_freq': 3, 'min_child_samples': 75, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",87
