dataset,best_params,r2,rmsle
FCMtp2sampled_data_1000_set_16,"{'n_estimators': 357, 'max_depth': 25, 'min_samples_split': 7, 'min_samples_leaf': 3, 'max_features': 'sqrt'}",0.4841233584328374,0.6997369794971038
FSCS_sampled_data_1000_set_16,"{'n_estimators': 465, 'max_depth': 18, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.7258369898365573,0.599934540731971
BalancedSampling_sampled_data_1000_set_17,"{'n_estimators': 438, 'max_depth': 15, 'min_samples_split': 15, 'min_samples_leaf': 5, 'max_features': 'log2'}",0.690748948943027,0.6106541100012767
clhs_sampled_data_1000_set_17,"{'n_estimators': 993, 'max_depth': 22, 'min_samples_split': 11, 'min_samples_leaf': 4, 'max_features': 'log2'}",0.7140414284685619,0.6138822481105836
FCMtp2sampled_data_1000_set_17,"{'n_estimators': 516, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.49363359187711164,0.6470872382269063
FSCS_sampled_data_1000_set_17,"{'n_estimators': 984, 'max_depth': 30, 'min_samples_split': 16, 'min_samples_leaf': 5, 'max_features': 'log2'}",0.7092046965959438,0.6339519249704132
BalancedSampling_sampled_data_1000_set_18,"{'n_estimators': 330, 'max_depth': 13, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 'log2'}",0.6936570005022971,0.6154831148843746
clhs_sampled_data_1000_set_18,"{'n_estimators': 126, 'max_depth': 10, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",0.7029804607373431,0.5682503452564018
FCMtp2sampled_data_1000_set_18,"{'n_estimators': 15, 'max_depth': 17, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.4260911394100163,0.6923574899882112
FSCS_sampled_data_1000_set_18,"{'n_estimators': 361, 'max_depth': 26, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.73088848478485,0.5770335396539564
BalancedSampling_sampled_data_1000_set_19,"{'n_estimators': 656, 'max_depth': 13, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.7030831847496927,0.5718791584760428
clhs_sampled_data_1000_set_19,"{'n_estimators': 379, 'max_depth': 15, 'min_samples_split': 12, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.7084934558007591,0.570183417021272
FCMtp2sampled_data_1000_set_19,"{'n_estimators': 538, 'max_depth': 23, 'min_samples_split': 7, 'min_samples_leaf': 6, 'max_features': 'sqrt'}",0.5133798254230202,0.6698368600605034
FSCS_sampled_data_1000_set_19,"{'n_estimators': 938, 'max_depth': 12, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.7214998773363597,0.5775213784266519
BalancedSampling_sampled_data_1000_set_20,"{'n_estimators': 672, 'max_depth': 13, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.7060674392006465,0.5893269156069635
clhs_sampled_data_1000_set_20,"{'n_estimators': 796, 'max_depth': 9, 'min_samples_split': 13, 'min_samples_leaf': 7, 'max_features': 'log2'}",0.6938491931397444,0.5887293478123157
FCMtp2sampled_data_1000_set_20,"{'n_estimators': 428, 'max_depth': 11, 'min_samples_split': 14, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.44590847837881364,0.683232410930132
FSCS_sampled_data_1000_set_20,"{'n_estimators': 168, 'max_depth': 23, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.7207185321668029,0.5784314369859278
BalancedSampling_sampled_data_5000_set_1,"{'n_estimators': 392, 'max_depth': 21, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 'log2'}",0.7604508315422187,0.5415106305728103
clhs_sampled_data_5000_set_1,"{'n_estimators': 589, 'max_depth': 8, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': 'log2'}",0.7413783415471538,0.5697090784266695
FCMtp2sampled_data_5000_set_1,"{'n_estimators': 680, 'max_depth': 16, 'min_samples_split': 9, 'min_samples_leaf': 6, 'max_features': 'log2'}",0.6581710900206863,0.6374510045989121
FSCS_sampled_data_5000_set_1,"{'n_estimators': 896, 'max_depth': 11, 'min_samples_split': 11, 'min_samples_leaf': 4, 'max_features': 'log2'}",0.7945597354691172,0.5158995100775849
BalancedSampling_sampled_data_5000_set_2,"{'n_estimators': 495, 'max_depth': 19, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 'sqrt'}",0.7658911423872417,0.5642144968470051
clhs_sampled_data_5000_set_2,"{'n_estimators': 379, 'max_depth': 18, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 'sqrt'}",0.7670018316219459,0.5556424871683335
FCMtp2sampled_data_5000_set_2,"{'n_estimators': 586, 'max_depth': 26, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.6503303595797398,0.634131838636678
FSCS_sampled_data_5000_set_2,"{'n_estimators': 259, 'max_depth': 19, 'min_samples_split': 16, 'min_samples_leaf': 10, 'max_features': 'log2'}",0.7744703332477871,0.5459364970174143
BalancedSampling_sampled_data_5000_set_3,"{'n_estimators': 78, 'max_depth': 30, 'min_samples_split': 13, 'min_samples_leaf': 6, 'max_features': 'log2'}",0.762598963500002,0.5439321783665816
clhs_sampled_data_5000_set_3,"{'n_estimators': 107, 'max_depth': 14, 'min_samples_split': 9, 'min_samples_leaf': 5, 'max_features': 'sqrt'}",0.7649579287670188,0.5642679095726806
FCMtp2sampled_data_5000_set_3,"{'n_estimators': 854, 'max_depth': 13, 'min_samples_split': 13, 'min_samples_leaf': 5, 'max_features': 'log2'}",0.6560725897285081,0.635915347610425
FSCS_sampled_data_5000_set_3,"{'n_estimators': 479, 'max_depth': 14, 'min_samples_split': 11, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.816054276834453,0.5147321426329395
BalancedSampling_sampled_data_5000_set_4,"{'n_estimators': 148, 'max_depth': 30, 'min_samples_split': 13, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.7698634021800823,0.5483527071087759
clhs_sampled_data_5000_set_4,"{'n_estimators': 416, 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 6, 'max_features': 'sqrt'}",0.7655272544536841,0.5503036176292605
FCMtp2sampled_data_5000_set_4,"{'n_estimators': 935, 'max_depth': 22, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt'}",0.653558116153317,0.6585534406224247
FSCS_sampled_data_5000_set_4,"{'n_estimators': 686, 'max_depth': 18, 'min_samples_split': 7, 'min_samples_leaf': 6, 'max_features': 'sqrt'}",0.7979688350050824,0.5080156157988208
BalancedSampling_sampled_data_5000_set_5,"{'n_estimators': 895, 'max_depth': 17, 'min_samples_split': 13, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.777324471026511,0.555403413622989
clhs_sampled_data_5000_set_5,"{'n_estimators': 398, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.7917482963546734,0.48619755146176297
FCMtp2sampled_data_5000_set_5,"{'n_estimators': 940, 'max_depth': 31, 'min_samples_split': 16, 'min_samples_leaf': 9, 'max_features': 'sqrt'}",0.6478052228541363,0.6607273401291701
FSCS_sampled_data_5000_set_5,"{'n_estimators': 731, 'max_depth': 18, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 'sqrt'}",0.7876119279070809,0.5112091433034246
BalancedSampling_sampled_data_5000_set_6,"{'n_estimators': 368, 'max_depth': 18, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.7774351282271804,0.5378096246608591
clhs_sampled_data_5000_set_6,"{'n_estimators': 61, 'max_depth': 13, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.773011876513926,0.5617562756671359
FCMtp2sampled_data_5000_set_6,"{'n_estimators': 504, 'max_depth': 31, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.6470885051877335,0.6313545558149585
FSCS_sampled_data_5000_set_6,"{'n_estimators': 353, 'max_depth': 21, 'min_samples_split': 6, 'min_samples_leaf': 6, 'max_features': 'sqrt'}",0.7994293884013158,0.5415861643459913
BalancedSampling_sampled_data_5000_set_7,"{'n_estimators': 710, 'max_depth': 9, 'min_samples_split': 6, 'min_samples_leaf': 9, 'max_features': 'log2'}",0.738140318756821,0.5902021267263511
clhs_sampled_data_5000_set_7,"{'n_estimators': 450, 'max_depth': 16, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.7884461206694233,0.5498763751437923
FCMtp2sampled_data_5000_set_7,"{'n_estimators': 648, 'max_depth': 9, 'min_samples_split': 5, 'min_samples_leaf': 6, 'max_features': 'sqrt'}",0.6496354836989634,0.6618476592055805
FSCS_sampled_data_5000_set_7,"{'n_estimators': 211, 'max_depth': 28, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt'}",0.8321250696787953,0.49950483723962275
BalancedSampling_sampled_data_5000_set_8,"{'n_estimators': 12, 'max_depth': 26, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.76841958017384,0.5389764150591649
clhs_sampled_data_5000_set_8,"{'n_estimators': 292, 'max_depth': 26, 'min_samples_split': 11, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.7755026229252331,0.5560562166893475
FCMtp2sampled_data_5000_set_8,"{'n_estimators': 932, 'max_depth': 17, 'min_samples_split': 8, 'min_samples_leaf': 11, 'max_features': 'sqrt'}",0.6544234449835149,0.6291290883665858
FSCS_sampled_data_5000_set_8,"{'n_estimators': 257, 'max_depth': 20, 'min_samples_split': 11, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.8267731990164535,0.5044036420055655
BalancedSampling_sampled_data_5000_set_9,"{'n_estimators': 153, 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.7908305383005029,0.5150034802710575
clhs_sampled_data_5000_set_9,"{'n_estimators': 22, 'max_depth': 25, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.7883208290238847,0.5163474216179957
FCMtp2sampled_data_5000_set_9,"{'n_estimators': 107, 'max_depth': 12, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",0.6547128677899632,0.655086095446203
FSCS_sampled_data_5000_set_9,"{'n_estimators': 357, 'max_depth': 11, 'min_samples_split': 13, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.7912901350332686,0.5264472585332604
BalancedSampling_sampled_data_5000_set_10,"{'n_estimators': 678, 'max_depth': 17, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.7980362679422177,0.5314916504671049
clhs_sampled_data_5000_set_10,"{'n_estimators': 806, 'max_depth': 27, 'min_samples_split': 13, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.7838957222597297,0.5448598441318644
FCMtp2sampled_data_5000_set_10,"{'n_estimators': 838, 'max_depth': 13, 'min_samples_split': 11, 'min_samples_leaf': 5, 'max_features': 'sqrt'}",0.6592128444963111,0.6268453619430941
FSCS_sampled_data_5000_set_10,"{'n_estimators': 877, 'max_depth': 23, 'min_samples_split': 11, 'min_samples_leaf': 7, 'max_features': 'sqrt'}",0.7882339198930793,0.5252615326162078
BalancedSampling_sampled_data_5000_set_11,"{'n_estimators': 766, 'max_depth': 13, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.7753507903760962,0.536336170701407
clhs_sampled_data_5000_set_11,"{'n_estimators': 505, 'max_depth': 25, 'min_samples_split': 6, 'min_samples_leaf': 5, 'max_features': 'log2'}",0.7697707949363255,0.5750853740184645
FCMtp2sampled_data_5000_set_11,"{'n_estimators': 851, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 6, 'max_features': 'log2'}",0.6561372451602119,0.6421917341074675
FSCS_sampled_data_5000_set_11,"{'n_estimators': 486, 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'log2'}",0.8156484240642136,0.4960546641761193
