raw_n,feat_num,level,comb_idx,elapsed_time,peak_mem_used
20000,10,15000,1,8.3472125,11066.46875
20000,10,20000,1,11.4192494,12592.734375
30000,1,5000,1,5.3375426,8773.27734375
30000,1,5000,2,5.2123071,8773.5390625
30000,1,5000,3,5.2822525,8773.69140625
30000,1,5000,4,5.1245609,8773.69140625
30000,1,5000,5,5.2671034,8773.73828125
30000,1,10000,1,11.0433315,11062.55859375
30000,1,10000,2,11.5056178,11062.87890625
30000,1,10000,3,11.2175229,11063.23828125
30000,1,10000,4,11.2123202,11063.23828125
30000,1,10000,5,10.7776118,11063.23828125
30000,1,15000,1,17.7112161,13359.96875
30000,1,15000,2,18.5096647,13359.96875
30000,1,15000,3,18.0591101,13359.96484375
30000,1,15000,4,18.6136704,13359.96484375
30000,1,15000,5,18.2546923,13359.96484375
30000,1,20000,1,26.9921529,15649
30000,1,20000,2,27.7337218,15649
30000,1,20000,3,27.4991888,15649.03125
30000,1,20000,4,28.1682888,15649.03125
30000,1,20000,5,27.203366,15649.1640625
30000,1,25000,1,36.982035,17938.93359375
30000,1,25000,2,37.7393346,17938.9375
30000,1,25000,3,36.9356457,17938.9375
30000,1,25000,4,46.9730781,17939.4140625
