dataset,best_params,test_accuracy,test_f1
FCMtp1sampled_data_1000_set_15,"{'n_estimators': 637, 'max_depth': 15, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.5461775433528654,0.4879872613765127
FCMtp2sampled_data_1000_set_15,"{'n_estimators': 473, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.525252986937007,0.43787363132448726
FSCS_sampled_data_1000_set_15,"{'n_estimators': 163, 'max_depth': 21, 'min_samples_split': 6, 'min_samples_leaf': 14, 'max_features': 'sqrt'}",0.6468055542859232,0.6064809895462513
kmeans_sampled_data_1000_set_15,"{'n_estimators': 339, 'max_depth': 12, 'min_samples_split': 2, 'min_samples_leaf': 10, 'max_features': 'log2'}",0.5930635415428775,0.530798075460817
BalancedSampling_sampled_data_1000_set_16,"{'n_estimators': 387, 'max_depth': 25, 'min_samples_split': 6, 'min_samples_leaf': 12, 'max_features': 'sqrt'}",0.6602067773989195,0.619870116979238
clhs_sampled_data_1000_set_16,"{'n_estimators': 948, 'max_depth': 9, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 'sqrt'}",0.6725293208889052,0.6459579298653629
FCMtp1sampled_data_1000_set_16,"{'n_estimators': 732, 'max_depth': 16, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.5325203623632225,0.4588404446116927
FCMtp2sampled_data_1000_set_16,"{'n_estimators': 305, 'max_depth': 21, 'min_samples_split': 13, 'min_samples_leaf': 4, 'max_features': 'log2'}",0.5848363240792372,0.5204364456406931
FSCS_sampled_data_1000_set_16,"{'n_estimators': 511, 'max_depth': 22, 'min_samples_split': 14, 'min_samples_leaf': 4, 'max_features': 'log2'}",0.6621538855319811,0.6255411600397471
kmeans_sampled_data_1000_set_16,"{'n_estimators': 43, 'max_depth': 25, 'min_samples_split': 13, 'min_samples_leaf': 12, 'max_features': 'log2'}",0.5886939749344108,0.5263249263840626
BalancedSampling_sampled_data_1000_set_17,"{'n_estimators': 313, 'max_depth': 26, 'min_samples_split': 6, 'min_samples_leaf': 6, 'max_features': 'sqrt'}",0.667401022003236,0.633068830255405
clhs_sampled_data_1000_set_17,"{'n_estimators': 119, 'max_depth': 13, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.6719899810773998,0.6465471731123942
FCMtp1sampled_data_1000_set_17,"{'n_estimators': 265, 'max_depth': 11, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.5417531286279744,0.47581805176712216
FCMtp2sampled_data_1000_set_17,"{'n_estimators': 989, 'max_depth': 27, 'min_samples_split': 14, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",0.550062618266251,0.480370408863261
FSCS_sampled_data_1000_set_17,"{'n_estimators': 783, 'max_depth': 9, 'min_samples_split': 16, 'min_samples_leaf': 6, 'max_features': 'log2'}",0.6616968178951121,0.6265224539462203
kmeans_sampled_data_1000_set_17,"{'n_estimators': 524, 'max_depth': 25, 'min_samples_split': 14, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",0.5899554816121689,0.5329557990882037
BalancedSampling_sampled_data_1000_set_18,"{'n_estimators': 852, 'max_depth': 22, 'min_samples_split': 11, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.6728492682347134,0.6504078446181628
clhs_sampled_data_1000_set_18,"{'n_estimators': 748, 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.6786723099284232,0.6569976491159397
FCMtp1sampled_data_1000_set_18,"{'n_estimators': 356, 'max_depth': 13, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 'sqrt'}",0.5346777216092438,0.464695820389678
