,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth.cm_Top,VCOS
639,49.6,1.51,0.4,6.8,32.2,0.08,3.2,2.8,54.6,18.0,0.0
640,26.9,1.59,0.4,8.0,30.7,0.04,2.3,3.2,55.3,74.0,0.1
641,0.2,1.7,17.6,6.1,35.5,0.08,4.3,2.5,44.0,132.0,0.0
647,1.8,1.6,11.7,6.2,3.3,0.21,3.8,0.2,74.8,91.0,0.0
661,12.2,1.53,6.4,8.6,17.6,1.0,6.0,2.1,59.3,0.0,0.0
662,3.6,1.67,15.3,8.9,12.8,0.34,5.9,1.4,55.7,23.0,0.0
666,33.5,1.38,6.4,17.2,14.1,1.29,10.7,1.8,49.7,0.0,0.1
667,21.6,1.42,7.9,17.8,14.1,0.47,7.1,2.1,50.9,10.0,0.1
668,10.8,1.52,12.1,17.7,12.8,0.28,7.1,1.8,48.4,20.0,0.1
674,3.4,1.59,8.8,10.2,27.1,0.995,6.3,4.3,43.0,0.0,0.3
675,3.9,1.65,13.7,10.0,23.8,0.4,8.2,2.7,41.5,18.0,0.1
676,1.2,1.58,25.0,9.1,20.5,0.19,6.8,2.6,35.9,36.0,0.1
677,0.5,1.73,26.4,9.0,20.5,0.12,5.1,2.6,36.2,74.0,0.2
686,27.0,1.42,13.6,8.3,21.9,2.48,11.0,5.0,39.3,0.0,0.3
687,7.0,1.58,17.0,7.6,22.8,0.66,8.4,5.7,38.1,13.0,0.4
688,5.9,1.5,26.5,7.0,21.3,0.4,5.5,5.0,34.3,25.0,0.4
689,3.5,1.53,29.1,7.6,17.8,0.14,7.6,4.3,33.3,41.0,0.3
692,16.1,1.55,0.4,13.4,30.3,0.97,0.5,3.9,47.4,10.0,0.2
693,33.5,1.53,2.2,14.3,29.0,0.39,2.4,3.9,48.0,25.0,0.2
694,34.2,1.58,2.4,14.5,27.8,0.36,1.9,3.7,49.5,71.0,0.2
695,35.5,1.52,1.6,14.2,28.0,0.08,1.9,4.2,49.9,112.0,0.2
699,22.8,1.58,0.6,12.4,33.0,0.18,2.2,3.7,48.0,10.0,0.1
700,0.3,1.55,22.8,10.4,21.5,0.27,7.1,2.3,35.8,30.0,0.1
701,2.6,1.54,18.3,11.2,26.1,0.13,6.3,2.4,35.6,66.0,0.1
703,1.5,1.65,14.8,10.0,28.1,0.05,6.7,2.6,37.7,117.0,0.1
711,9.2,1.52,10.6,16.8,18.2,0.38,14.2,4.8,34.9,15.0,0.5
712,9.2,1.59,11.7,14.0,18.6,0.15,13.7,4.6,36.8,30.0,0.6
713,11.6,1.58,12.9,13.8,17.0,0.14,13.3,4.2,38.5,41.0,0.4
714,3.3,1.68,17.8,13.4,18.5,0.13,13.6,5.5,30.6,48.0,0.6
715,7.0,1.67,21.6,13.8,18.3,0.04,10.6,5.5,29.3,66.0,0.9
716,0.2,1.77,18.4,13.6,20.0,0.04,9.1,6.2,31.9,135.0,0.8
719,0.8,1.53,15.5,8.3,1.6,0.15,6.1,0.2,68.3,25.0,0.0
723,21.3,1.5,2.7,10.3,17.4,0.42,1.8,2.1,65.7,31.0,0.0
727,0.8,1.57,13.1,18.7,0.4,0.1,7.8,0.0,60.0,53.0,0.0
728,0.4,1.45,22.4,17.3,0.3,0.08,7.0,0.1,52.9,112.0,0.0
754,3.0,1.56,6.1,11.6,6.4,0.34,2.7,1.7,71.5,33.0,0.0
755,4.6,1.56,4.2,10.3,5.7,0.14,3.3,1.8,74.7,41.0,0.0
756,0.1,1.53,14.4,10.2,4.8,0.25,5.0,1.5,64.1,76.0,0.0
757,4.9,1.62,5.6,9.8,5.4,0.17,1.6,1.7,75.9,89.0,0.0
758,7.0,1.29,3.1,14.3,18.3,1.08,6.8,2.3,55.1,0.0,0.1
759,9.7,1.6,3.1,13.2,19.9,0.23,6.1,2.5,55.2,18.0,0.0
761,8.4,1.69,4.6,13.1,20.3,0.12,6.0,2.4,53.5,71.0,0.1
762,8.1,1.74,1.8,14.3,20.3,0.04,4.9,2.7,55.9,91.0,0.1
764,26.9,1.39,1.3,15.1,25.1,0.68,4.5,2.0,52.0,0.0,0.0
765,20.4,1.49,0.5,14.9,26.0,0.14,3.8,2.2,52.5,10.0,0.1
766,13.1,1.51,2.2,13.2,24.0,1.34,6.9,2.8,50.8,41.0,0.1
768,11.8,1.47,3.0,12.3,24.6,1.0,4.8,2.8,52.4,53.0,0.1
769,11.8,1.57,2.4,14.2,24.4,0.52,4.2,2.7,52.0,64.0,0.1
770,3.3,1.72,22.2,9.5,20.3,0.13,4.6,1.8,41.6,104.0,0.0
772,41.1,1.56,0.4,6.5,35.3,0.21,3.0,3.4,51.4,15.0,0.0
773,24.6,1.62,0.5,6.6,33.7,0.18,2.4,3.5,53.1,28.0,0.2
774,2.1,1.59,3.6,5.9,31.6,1.69,5.8,3.9,49.1,74.0,0.1
775,3.3,1.69,3.4,6.6,30.6,0.93,4.7,3.4,51.2,89.0,0.1
777,27.6,1.45,0.4,11.3,31.6,0.3,3.2,3.9,49.5,0.0,0.1
778,21.7,1.51,0.4,12.7,29.3,0.11,3.0,3.6,50.9,18.0,0.1
779,4.6,1.49,3.2,12.8,25.7,1.31,6.4,3.6,48.2,56.0,0.1
780,9.6,1.51,2.7,13.1,25.7,1.32,4.0,3.5,50.9,61.0,0.1
781,17.5,1.64,0.9,13.0,27.7,0.29,3.0,3.8,51.5,68.0,0.1
782,19.3,1.67,0.8,12.6,27.4,0.08,3.3,3.5,52.4,81.0,0.0
783,0.1,1.71,16.6,10.3,23.1,0.29,3.7,2.7,43.5,112.0,0.1
784,5.4,1.62,8.4,11.2,26.5,0.14,3.1,3.0,47.7,152.0,0.1
789,2.4,1.44,4.0,21.6,3.3,1.38,5.5,0.1,65.4,56.0,0.1
803,20.8,1.52,0.7,18.4,25.9,0.17,5.1,1.8,48.1,30.0,0.0
805,9.1,1.61,2.1,18.6,21.9,0.4,5.1,1.6,50.7,66.0,0.0
820,0.1,1.6,17.1,11.2,1.8,0.25,3.1,0.1,66.7,91.0,0.0
828,14.7,1.37,3.6,16.0,19.2,1.46,9.1,5.6,45.8,13.0,0.7
829,11.5,1.46,3.6,15.4,20.0,0.4,7.0,6.4,46.9,58.0,0.7
830,5.5,1.67,5.6,15.7,17.5,0.1,5.7,6.0,48.4,81.0,1.1
836,8.8,1.33,5.5,24.3,10.8,0.76,8.1,2.4,48.7,36.0,0.2
837,27.8,1.58,4.8,23.1,11.3,0.75,7.8,2.7,50.0,41.0,0.3
840,8.4,1.51,3.3,24.7,12.5,0.0,5.6,3.7,49.8,84.0,0.4
841,4.5,1.65,2.4,23.4,11.8,0.4,8.5,3.0,50.6,99.0,0.3
854,8.4,1.65,0.6,16.1,21.9,0.03,8.0,5.2,47.7,23.0,0.5
857,15.3,1.68,0.8,8.0,34.5,0.08,3.3,3.9,49.4,38.0,0.1
858,0.5,1.59,23.1,5.7,25.1,0.23,8.2,3.5,34.4,71.0,0.0
880,52.2,1.63,12.5,7.2,39.4,0.99,4.6,5.5,30.8,30.0,0.0
881,3.4,1.29,24.7,4.9,35.6,1.16,2.7,4.3,27.8,38.0,0.0
882,2.7,1.7,11.9,5.0,43.6,0.25,2.8,5.0,31.7,81.0,0.0
883,0.1,1.68,14.0,4.8,41.5,0.13,7.5,5.1,27.0,117.0,0.1
892,16.2,1.45,5.4,17.3,14.7,0.85,9.0,1.6,52.0,8.0,0.0
893,28.3,1.41,7.4,15.7,13.9,0.47,8.6,1.4,53.0,23.0,0.0
894,21.3,1.56,7.5,17.9,13.9,0.23,8.2,1.5,51.0,48.0,0.0
895,2.4,1.65,18.1,16.9,11.3,0.16,7.4,1.3,44.9,79.0,0.1
899,27.1,1.43,0.5,15.3,28.2,1.68,4.3,2.9,48.7,0.0,0.1
900,13.8,1.59,0.6,14.2,28.0,0.2,4.0,3.8,49.3,13.0,0.1
901,3.1,1.35,4.6,14.2,22.3,2.31,6.8,3.1,48.9,43.0,0.1
902,15.1,1.5,2.9,11.6,26.0,0.83,4.8,3.6,51.0,56.0,0.1
903,16.4,1.63,1.5,15.6,23.5,0.22,4.0,3.5,51.8,64.0,0.1
904,0.6,1.71,21.5,12.6,18.1,0.26,4.1,2.1,41.5,89.0,0.1
907,14.7,1.49,1.3,7.7,34.0,1.78,5.8,3.3,47.9,0.0,0.0
908,7.0,1.6,1.1,8.6,32.3,0.55,5.2,2.9,49.9,13.0,0.0
909,15.3,1.61,0.7,9.1,32.1,0.23,4.9,3.0,50.2,20.0,0.0
910,1.3,1.49,6.0,8.0,27.3,2.45,10.9,2.9,44.8,36.0,0.1
911,8.5,1.55,2.9,8.8,30.3,0.79,5.6,3.1,49.2,46.0,0.1
912,5.8,1.65,2.0,8.7,30.8,0.47,4.4,3.3,50.8,58.0,0.0
913,1.4,1.64,15.5,7.6,25.8,0.39,5.4,2.8,42.8,71.0,0.1
914,0.6,1.69,10.3,7.0,29.1,0.18,4.0,3.0,46.5,94.0,0.1
925,0.8,1.68,20.6,19.8,3.0,0.29,3.8,0.1,52.7,86.0,0.0
954,0.5,1.38,20.5,5.5,37.7,0.07,4.9,5.4,25.9,38.0,0.1
969,6.1,1.54,1.9,10.8,39.7,0.22,6.5,9.7,30.8,15.0,0.7
971,0.9,1.52,14.4,7.1,42.1,0.18,1.3,8.1,26.2,38.0,0.7
972,1.9,1.7,11.0,6.4,42.7,0.17,3.4,10.1,25.5,53.0,0.7
973,4.0,1.59,22.1,8.6,31.5,0.14,8.4,9.1,19.6,102.0,0.8
974,2.0,1.51,21.1,10.5,31.3,0.07,11.2,8.4,16.5,122.0,1.1
978,13.8,1.52,2.4,14.5,34.8,0.46,3.6,2.4,42.2,15.0,0.1
980,0.1,1.52,20.3,13.4,23.9,0.27,5.5,1.8,35.0,30.0,0.1
981,0.7,1.66,13.7,12.0,28.6,0.1,3.6,2.2,39.8,53.0,0.1
982,1.3,1.63,12.7,13.4,29.0,0.08,3.9,2.0,39.0,84.0,0.0
983,1.9,1.63,11.0,14.2,32.0,0.07,4.6,4.0,34.1,124.0,0.1
989,0.8,1.7,16.4,2.2,40.8,0.18,4.2,5.3,31.0,48.0,0.1
990,0.4,1.73,15.7,2.5,40.1,0.13,4.4,4.7,32.5,102.0,0.1
991,0.1,1.74,16.0,2.7,39.4,0.15,4.9,5.5,31.4,124.0,0.1
1005,27.2,1.59,3.6,5.2,31.4,0.13,2.0,4.6,53.1,25.0,0.1
1006,34.0,1.54,3.4,5.0,31.1,0.08,2.3,4.6,53.4,58.0,0.2
1007,52.6,1.55,3.7,5.3,30.3,0.06,1.6,4.4,54.5,102.0,0.2
1008,61.15,1.43,2.0,5.9,40.7,0.49,3.6,6.9,40.8,33.0,0.1
1009,54.2,1.53,4.8,5.3,28.7,0.05,1.3,4.6,55.1,135.0,0.2
1010,36.2,1.52,9.6,6.1,26.5,0.06,0.8,4.8,52.0,163.0,0.2
1011,67.05,1.46,2.6,7.1,37.2,0.2,2.6,6.8,43.6,122.0,0.1
1016,8.99,1.5,2.7,22.1,14.7,0.31,5.4,1.5,53.6,56.0,0.0
1018,11.82,1.77,3.0,11.8,22.5,0.21,4.9,7.3,50.1,71.0,0.4
1019,9.2,1.59,3.0,22.8,15.1,0.29,5.5,1.5,52.1,76.0,0.0
