Var1,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth_cm_Top,VCOS
13178,46,1.61,1.7,3.3,37,0.13,1.2,1.4,55.4,74,0
17253,19.7,1.49,0.8,13.1,9.3,0.06,2.3,1,73.5,135,0
2454,25.6,1.51,2.9,9.3,22.1,0.71,1,0.9,63.8,0,0
18639,52.6,1.48,2.8,5.4,41.8,1.22,5.9,17.3,25,0,1.8
11048,2.11,1.39,32.1,6.6,1.6,1,4.6,0.2,54.8,43,0.1
2009,85.9,1.47,1.3,2.9,38.2,0.1,2.1,3.7,51.8,76,0.1
9951,39.4,1.61,0.6,2.6,52.3,0.03,1,7.7,35.7,46,0.1
144,55.2,1.47,0.9,5.3,10.3,0.1,0.3,0.6,82.6,56,0
18496,108,1.56,0.1,0.3,65.5,0.03,0.1,8.4,25.6,86,0
18306,0.21,1.65,15.9,5.3,3.7,0.14,3.6,0.2,71.3,114,0
9282,86.8,1.52,0.9,0.5,43.8,0.09,0.3,18,35,51,1.5
12137,1.71,1.55,24,5.8,23.3,0.05,4.7,5,37,96,0.2
15622,61.1,1.54,1.5,4.8,41.2,0.92,3.9,5.2,43.3,0,0.1
6804,21.05,1.43,1.3,15.6,11,0.51,2.7,1.3,68.1,13,0
1514,24.3,1.35,2.2,3.8,23.2,1.69,0.5,0.4,69.9,0,0
3869,10.28,1.4,0.1,45.9,11,0.64,10.6,2,30.3,0,0.1
11383,21.8,1.47,4.4,6.1,37,0.77,8.7,13.1,28.9,0,1.8
6423,23.65,1.5,2,10.5,4.2,0.32,0,0.2,83,10,0.1
3001,34.4,1.36,1.8,7.8,3.5,0.35,4.3,0.2,82.4,13,0
2791,0.09,1.72,14.1,6.1,23.9,0.18,3.7,4.3,47.9,74,0
3986,85.5,1.47,3,1.8,17.7,0.34,2.4,0.6,74.5,46,0
13164,35.9,1.67,1.1,4.2,30.6,0.09,1.5,5,57.4,142,0.2
12588,11.8,1.48,8.1,4.8,20.4,0.71,16.9,4.2,45.6,15,0
5870,0.17,1.6,34.1,19,1,0.28,14.5,0,31.4,66,0
9398,3.19,1.47,10.9,17.2,20.1,1.14,14.6,7,30,0,0.2
1333,33.5,1.47,2.2,11.7,12.4,0.28,2.4,0.8,70.5,23,0
12132,15.1,1.52,0.8,11.6,24.9,0.36,5.2,7.4,49.8,13,0.3
3237,18.05,1.53,0.8,14.2,6.7,0.12,1.9,0.2,76.2,43,0
9298,5.26,1.54,28.5,5.9,5.8,0.26,4.7,1.2,52.4,79,0
16434,10.1,1.61,3.8,18.2,20.5,0.63,5.2,4.1,48,0,0.2
18317,0.1,1.73,14.5,10,0.5,0.24,6.1,0.1,68.8,96,0
3342,21.7,1.48,2.1,3.3,44.5,0.86,1.5,5.6,42.9,0,0.1
7543,19.3,1.3,2,9.3,9,1.97,0.8,0.6,78.3,0,0
13239,1.21,1.69,9.7,5.2,21.3,0.39,2.6,3.2,57.9,91,0.1
9536,4.29,1.53,2.7,12,19.2,1.56,6,0.5,59.5,0,0.1
7619,13.1,1.6,6.2,11.3,12.9,0.03,1,0.6,68,137,0
2008,80.2,1.51,1.3,3,38.9,0.1,1.9,3.9,50.8,46,0.2
2873,30.6,1.4,2,2.3,4.3,0.86,1.4,0.2,89.8,0,0
834,21.4,1.31,1.6,24,11.1,0.83,7.1,2.6,53.4,0,0.2
14610,5.82,1.37,10,11.8,25.7,1.38,6.6,5.9,39.6,0,0.4
13802,5.59,1.42,4.5,5.8,40.4,1.58,3.5,3.3,42.5,104,0
12607,9.64,1.59,1,30.6,7.7,0.14,3.9,1.4,55.4,94,0
6529,13.15,1.51,0.3,20.4,2.6,0.14,5.7,0.1,70.9,20,0
10958,10.5,1.42,2.8,1.6,46.7,1.66,5.42,4.4,39,0,0.1
2985,10.97,1.47,1.3,5.3,4.9,0.79,3.6,0.1,84.8,0,0
4844,43.8,1.52,0,3.1,22.6,0.04,1.1,1.9,71.3,10,0
12053,0.37,1.69,4.8,20.4,18.3,0.03,10.6,5.7,39.6,36,0.6
15018,85.5,0.8,1,2.4,4.1,3.87,0.8,0.1,91.6,0,0
15071,113,1.39,0.5,0.4,46.3,0.05,0.5,19.6,30.3,104,2.4
13230,4.77,1.6,2.3,8.6,27.1,0.73,5,1.5,55.4,64,0
15368,0.09,1.61,8.7,16.5,6.2,1.46,4.6,0.1,63.9,109,0
18215,23.7,1.42,0.9,15.8,11.8,0.81,2.8,1.4,67.3,0,0
