,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth.cm_Top,VCOS
974,2.0,1.51,21.1,10.5,31.3,0.07,11.2,8.4,16.5,122.0,1.1
4445,6.84,1.55,2.4,7.6,31.8,0.32,2.1,2.8,53.3,102.0,0.0
4281,1.64,1.81,18.8,0.9,41.2,0.11,3.7,8.4,26.5,125.0,0.5
5286,10.31,1.68,1.7,2.3,3.8,0.17,3.2,0.5,88.4,81.0,0.1
13738,6.31,1.62,3.7,26.2,12.3,0.14,4.8,3.7,48.9,94.0,0.4
16799,0.06,1.45,17.4,8.4,1.6,0.06,11.0,0.2,61.4,173.0,0.0
11047,12.2,1.43,4.3,8.0,2.3,0.45,4.7,0.3,80.4,38.0,0.0
5292,25.0,1.57,0.8,6.2,38.0,0.17,4.3,4.9,45.7,23.0,0.1
13620,13.6,1.64,1.6,12.5,18.5,0.21,0.8,1.6,64.9,91.0,0.1
9533,11.0,1.68,6.0,1.7,12.5,2.15,4.3,0.9,74.5,117.0,0.1
13800,8.87,1.76,4.3,11.1,27.9,0.27,2.3,1.8,52.6,124.0,0.0
12673,11.4,1.52,8.5,27.2,6.0,0.17,5.9,1.0,51.4,61.0,0.0
3839,1.5,1.79,12.8,6.1,35.8,0.08,7.7,3.2,34.3,168.0,0.1
14995,1.79,1.44,3.9,4.6,4.4,1.06,5.9,0.6,80.6,66.0,0.0
15745,5.26,1.62,4.4,1.8,5.6,0.92,7.7,0.0,80.5,193.0,0.0
13407,13.1,1.54,0.9,26.1,17.9,0.49,2.9,3.6,49.0,20.0,0.0
15747,7.89,1.51,0.3,17.7,0.5,0.64,7.7,0.0,73.8,15.0,0.0
9497,18.4,1.61,1.5,7.0,14.5,0.47,1.6,1.2,74.2,94.0,0.0
5609,105.8,1.44,2.0,0.3,67.3,0.15,4.2,3.9,22.3,15.0,0.0
10808,37.7,1.56,1.4,7.5,15.2,0.15,1.7,3.3,70.5,23.0,0.4
5190,2.89,1.43,5.5,42.2,0.6,0.17,22.1,0.2,29.4,48.0,0.0
16371,16.4,1.64,2.8,8.4,20.4,0.89,3.0,11.4,51.7,74.0,2.3
8554,6.13,1.48,26.5,7.0,21.3,0.4,5.5,5.0,34.3,25.0,0.4
11751,69.7,1.42,2.3,3.1,45.1,0.47,4.6,9.3,35.5,10.0,0.1
15651,6.57,1.54,1.8,3.7,44.3,2.75,9.9,7.3,33.0,99.0,0.0
6892,16.65,1.44,1.7,11.0,2.2,0.14,3.8,0.1,81.2,20.0,0.0
9895,0.182,1.58,22.8,10.4,21.5,0.27,7.1,2.3,35.8,30.0,0.1
8897,0.122,1.54,61.7,8.2,8.4,0.08,4.5,2.0,15.0,147.0,0.2
14158,8.68,1.51,5.1,8.6,25.9,0.9,5.2,3.4,51.6,0.0,0.2
5586,0.04,1.62,30.2,4.0,30.8,0.22,4.2,3.6,27.2,61.0,0.0
3757,11.5,1.41,1.6,2.9,42.4,0.75,2.9,7.1,43.1,79.0,0.0
5246,15.8,1.39,1.7,22.3,18.4,0.51,5.0,1.3,51.3,10.0,0.0
13907,21.0,1.48,2.8,11.3,28.9,1.4,6.7,18.7,26.0,0.0,5.6
9213,32.9,1.46,0.4,3.2,4.5,0.2,1.7,0.2,90.0,15.0,0.0
14218,46.0,1.32,2.6,5.8,13.0,2.21,0.9,2.0,75.6,25.0,0.1
12832,8.55,1.54,1.4,15.4,6.5,0.68,4.2,0.4,72.1,117.0,0.0
9321,9.2,1.41,3.0,15.3,1.9,0.66,6.3,0.1,73.4,15.0,0.0
18194,18.4,1.47,0.6,20.9,13.2,0.7,2.9,1.2,61.2,18.0,0.0
2763,3.24,1.68,2.0,16.0,32.2,1.58,2.9,4.4,42.4,58.0,0.1
15619,47.3,1.57,2.0,6.0,27.0,0.13,1.9,1.5,61.6,89.0,0.0
5867,97.3,0.57,19.7,24.3,1.2,7.4,26.9,0.0,28.0,13.0,0.0
26,0.34,1.74,20.6,8.3,31.4,0.12,3.9,11.0,23.6,177.0,1.2
7868,12.2,1.21,9.8,6.6,42.3,2.84,5.0,4.2,32.0,0.0,0.1
5283,36.8,1.36,1.1,12.6,0.9,0.06,2.9,0.0,82.5,6.0,0.0
5579,16.65,1.13,4.5,28.5,6.0,2.65,5.2,0.2,55.6,0.0,0.0
14364,0.65,1.71,41.7,12.5,8.8,0.06,2.5,1.1,33.3,173.0,0.1
15079,2.54,1.59,10.6,5.0,3.5,0.13,2.1,0.2,78.6,175.0,0.0
2408,15.75,1.56,1.1,18.8,10.4,0.07,1.6,0.5,67.6,76.0,0.0
11299,0.52,1.49,6.0,8.04,22.4,1.24,26.4,14.4,20.4,15.0,2.4
7004,60.7,1.43,0.1,2.9,5.8,0.52,1.5,0.3,89.4,18.0,0.0
6726,29.6,1.38,0.8,10.9,11.1,0.38,1.0,1.2,75.0,10.0,0.0
4211,24.0,1.48,3.7,4.9,46.4,1.03,2.6,1.6,40.8,99.0,0.0
9744,11.0,1.57,3.2,18.2,8.6,0.36,3.4,0.8,65.8,84.0,0.0
12331,1.87,1.67,6.6,9.9,44.0,0.16,2.5,5.0,31.9,89.0,0.1
5807,5.15,1.73,6.2,1.5,57.1,0.7,4.3,10.2,20.7,145.0,0.0
4186,1.75,1.66,8.7,4.2,33.9,0.45,2.3,2.5,48.4,135.0,0.0
8813,11.5,1.51,7.3,5.4,35.7,0.27,3.6,21.1,25.0,193.0,1.9
17598,56.5,1.36,1.0,0.9,50.6,0.83,0.9,6.3,40.3,0.0,0.0
10113,0.822,1.75,21.3,5.5,28.2,0.12,6.1,1.7,37.1,112.0,0.1
4080,1.42,1.2,10.1,5.3,0.3,4.02,5.6,0.0,78.7,36.0,0.0
6177,60.45,1.37,4.6,6.84,34.0,0.36,9.0,20.0,23.2,15.0,2.4
4188,3.34,1.63,7.0,3.9,33.3,0.14,1.6,2.4,51.8,168.0,0.0
12485,28.9,1.47,1.3,2.3,4.8,0.08,3.6,0.1,87.9,25.0,0.0
5491,0.09,1.67,29.6,5.0,25.8,0.08,1.3,2.4,35.8,157.0,0.1
5295,19.05,1.39,4.1,6.0,32.5,1.85,6.3,3.7,47.4,41.0,0.0
15977,17.1,1.37,4.1,5.6,0.5,0.07,2.5,0.0,87.3,18.0,0.0
16124,7.89,1.44,7.1,1.4,47.2,2.52,6.5,14.8,22.4,79.0,0.6
1408,18.4,1.61,1.9,29.7,16.2,0.19,2.7,3.9,45.3,56.0,0.3
12460,0.28,0.95,61.0,11.4,1.6,0.15,12.8,0.2,13.0,53.0,0.0
9145,145.0,1.01,6.8,0.7,18.6,1.15,2.7,0.6,70.6,0.0,0.0
14002,7.23,1.48,5.2,22.5,14.2,0.81,6.3,1.6,50.1,0.0,0.1
4386,78.9,1.54,2.0,4.4,40.2,0.02,3.3,14.0,34.8,152.0,1.3
18366,3.7,1.54,2.4,9.2,5.2,2.26,2.7,0.3,76.5,109.0,0.0
2887,49.3,1.39,2.6,2.2,3.2,0.5,0.4,0.1,91.5,96.0,0.0
18256,42.7,1.31,1.2,3.2,2.6,1.06,2.4,0.1,90.5,18.0,0.0
13454,31.6,1.14,30.6,4.8,19.6,3.26,11.4,4.2,29.2,41.0,0.2
7227,20.4,1.63,2.9,11.5,8.4,0.02,1.4,1.2,74.6,114.0,0.0
